service_id,route_id,count
JUIN20DIM,JUIN2012E,16
JUIN20DIM,JUIN2012O,16
JUIN20DIM,JUIN20144E,26
JUIN20DIM,JUIN20144O,27
JUIN20DIM,JUIN20151N,28
JUIN20DIM,JUIN20151S,27
JUIN20DIM,JUIN2017N,23
JUIN20DIM,JUIN2017S,21
JUIN20DIM,JUIN2020E,17
JUIN20DIM,JUIN2020O,16
JUIN20DIM,JUIN20222E,7
JUIN20DIM,JUIN20222O,6
JUIN20DIM,JUIN2022E,15
JUIN20DIM,JUIN2022O,14
JUIN20DIM,JUIN2024E,28
JUIN20DIM,JUIN2024O,28
JUIN20DIM,JUIN2026E,47
JUIN20DIM,JUIN2026O,51
JUIN20DIM,JUIN2027N,18
JUIN20DIM,JUIN2027S,18
JUIN20DIM,JUIN20313N,1
JUIN20DIM,JUIN20313S,1
JUIN20DIM,JUIN2031N,18
JUIN20DIM,JUIN2031S,20
JUIN20DIM,JUIN2033N,12
JUIN20DIM,JUIN2033S,11
JUIN20DIM,JUIN20360N,25
JUIN20DIM,JUIN2037N,13
JUIN20DIM,JUIN2037S,13
JUIN20DIM,JUIN2039N,26
JUIN20DIM,JUIN2039S,24
JUIN20DIM,JUIN2040E,26
JUIN20DIM,JUIN2040O,26
JUIN20DIM,JUIN2042E,50
JUIN20DIM,JUIN2042O,50
JUIN20DIM,JUIN2043N,20
JUIN20DIM,JUIN2043S,20
JUIN20DIM,JUIN2045N,18
JUIN20DIM,JUIN2045S,18
JUIN20DIM,JUIN2046N,30
JUIN20DIM,JUIN2046S,29
JUIN20DIM,JUIN2048E,20
JUIN20DIM,JUIN2048O,19
JUIN20DIM,JUIN2050E,25
JUIN20DIM,JUIN2050O,25
JUIN20DIM,JUIN2052E,19
JUIN20DIM,JUIN2052O,18
JUIN20DIM,JUIN2055N,17
JUIN20DIM,JUIN2055S,18
JUIN20DIM,JUIN2056E,27
JUIN20DIM,JUIN2056O,27
JUIN20DIM,JUIN2058E,18
JUIN20DIM,JUIN2058O,17
JUIN20DIM,JUIN2060E,17
JUIN20DIM,JUIN2060O,19
JUIN20DIM,JUIN2061N,19
JUIN20DIM,JUIN2061S,18
JUIN20DIM,JUIN2063N,19
JUIN20DIM,JUIN2063S,17
JUIN20DIM,JUIN2065N,19
JUIN20DIM,JUIN2065S,17
JUIN20DIM,JUIN2066E,27
JUIN20DIM,JUIN2066O,26
JUIN20DIM,JUIN2070E,26
JUIN20DIM,JUIN2070O,28
JUIN20DIM,JUIN2073N,19
JUIN20DIM,JUIN2073S,21
JUIN20DIM,JUIN2074E,17
JUIN20DIM,JUIN2074O,18
JUIN20DIM,JUIN2076E,31
JUIN20DIM,JUIN2076O,29
JUIN20DIM,JUIN20903N,17
JUIN20DIM,JUIN20903S,15
JUIN20SAM,JUIN2012E,17
JUIN20SAM,JUIN2012O,17
JUIN20SAM,JUIN20144E,28
JUIN20SAM,JUIN20144O,28
JUIN20SAM,JUIN20151N,29
JUIN20SAM,JUIN20151S,27
JUIN20SAM,JUIN2017N,24
JUIN20SAM,JUIN2017S,21
JUIN20SAM,JUIN2020E,18
JUIN20SAM,JUIN2020O,18
JUIN20SAM,JUIN20222E,8
JUIN20SAM,JUIN20222O,7
JUIN20SAM,JUIN2022E,17
JUIN20SAM,JUIN2022O,16
JUIN20SAM,JUIN2024E,30
JUIN20SAM,JUIN2024O,30
JUIN20SAM,JUIN2026E,51
JUIN20SAM,JUIN2026O,51
JUIN20SAM,JUIN2027N,21
JUIN20SAM,JUIN2027S,20
JUIN20SAM,JUIN202E,3
JUIN20SAM,JUIN202O,2
JUIN20SAM,JUIN20313N,1
JUIN20SAM,JUIN20313S,1
JUIN20SAM,JUIN2031N,19
JUIN20SAM,JUIN2031S,21
JUIN20SAM,JUIN2033N,12
JUIN20SAM,JUIN2033S,11
JUIN20SAM,JUIN20360N,36
JUIN20SAM,JUIN2037N,13
JUIN20SAM,JUIN2037S,13
JUIN20SAM,JUIN2039N,26
JUIN20SAM,JUIN2039S,24
JUIN20SAM,JUIN2040E,27
JUIN20SAM,JUIN2040O,27
JUIN20SAM,JUIN2042E,51
JUIN20SAM,JUIN2042O,51
JUIN20SAM,JUIN2043N,20
JUIN20SAM,JUIN2043S,22
JUIN20SAM,JUIN2045N,18
JUIN20SAM,JUIN2045S,18
JUIN20SAM,JUIN2046N,30
JUIN20SAM,JUIN2046S,30
JUIN20SAM,JUIN2048E,22
JUIN20SAM,JUIN2048O,23
JUIN20SAM,JUIN2050E,25
JUIN20SAM,JUIN2050O,26
JUIN20SAM,JUIN2052E,21
JUIN20SAM,JUIN2052O,19
JUIN20SAM,JUIN2055N,18
JUIN20SAM,JUIN2055S,18
JUIN20SAM,JUIN2056E,27
JUIN20SAM,JUIN2056O,28
JUIN20SAM,JUIN2058E,19
JUIN20SAM,JUIN2058O,19
JUIN20SAM,JUIN2060E,19
JUIN20SAM,JUIN2060O,20
JUIN20SAM,JUIN2061N,20
JUIN20SAM,JUIN2061S,19
JUIN20SAM,JUIN2063N,21
JUIN20SAM,JUIN2063S,21
JUIN20SAM,JUIN2065N,21
JUIN20SAM,JUIN2065S,18
JUIN20SAM,JUIN2066E,27
JUIN20SAM,JUIN2066O,26
JUIN20SAM,JUIN2070E,26
JUIN20SAM,JUIN2070O,28
JUIN20SAM,JUIN2073N,22
JUIN20SAM,JUIN2073S,23
JUIN20SAM,JUIN2074E,17
JUIN20SAM,JUIN2074O,18
JUIN20SAM,JUIN2076E,31
JUIN20SAM,JUIN2076O,31
JUIN20SAM,JUIN20903N,18
JUIN20SAM,JUIN20903S,17
JUIN20SEM,JUIN2012E,20
JUIN20SEM,JUIN2012O,20
JUIN20SEM,JUIN20144E,34
JUIN20SEM,JUIN20144O,31
JUIN20SEM,JUIN20151N,48
JUIN20SEM,JUIN20151S,48
JUIN20SEM,JUIN2017N,33
