service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,directory
DIM,0,0,0,0,0,0,1,20210828,20220107,GTFS_AOUT21_REGULIER
SAM,0,0,0,0,0,1,0,20210828,20220107,GTFS_AOUT21_REGULIER
SEM,1,1,1,1,1,0,0,20210828,20220107,GTFS_AOUT21_REGULIER
DIM,0,0,0,0,0,0,1,20210109,20210319,GTFS_JANV21_REGULIER
SAM,0,0,0,0,0,1,0,20210109,20210319,GTFS_JANV21_REGULIER
SEM,1,1,1,1,1,0,0,20210109,20210319,GTFS_JANV21_REGULIER
DIM,0,0,0,0,0,0,1,20210626,20210827,GTFS_JUIN21_REGULIER
SAM,0,0,0,0,0,1,0,20210626,20210827,GTFS_JUIN21_REGULIER
SEM,1,1,1,1,1,0,0,20210626,20210827,GTFS_JUIN21_REGULIER
DIM,0,0,0,0,0,0,1,20210320,20210625,GTFS_MARS21_REGULIER
SAM,0,0,0,0,0,1,0,20210320,20210625,GTFS_MARS21_REGULIER
SEM,1,1,1,1,1,0,0,20210320,20210625,GTFS_MARS21_REGULIER
AOUT16DIM,0,0,0,0,0,0,1,20160827,20170106,GTF_STL_20170310
AOUT16SAM,0,0,0,0,0,1,0,20160827,20170106,GTF_STL_20170310
AOUT16SEM,1,1,1,1,1,0,0,20160827,20170106,GTF_STL_20170310
JANV17DIM,0,0,0,0,0,0,1,20170107,20170324,GTF_STL_20170310
JANV17SAM,0,0,0,0,0,1,0,20170107,20170324,GTF_STL_20170310
JANV17SEM,1,1,1,1,1,0,0,20170107,20170324,GTF_STL_20170310
JRAN17DIM,1,1,1,1,1,1,1,20170101,20170101,GTF_STL_20170310
NOEL16DIM,1,1,1,1,1,1,1,20161225,20161225,GTF_STL_20170310
JANV17DIM,0,0,0,0,0,0,1,20170107,20170324,GTF_STL_20170615
JANV17SAM,0,0,0,0,0,1,0,20170107,20170324,GTF_STL_20170615
JANV17SEM,1,1,1,1,1,0,0,20170107,20170324,GTF_STL_20170615
MARS17DIM,0,0,0,0,0,0,1,20170325,20170623,GTF_STL_20170615
MARS17SAM,0,0,0,0,0,1,0,20170325,20170623,GTF_STL_20170615
MARS17SEM,1,1,1,1,1,0,0,20170325,20170623,GTF_STL_20170615
JUIN17DIM,0,0,0,0,0,0,1,20170624,20170825,GTF_STL_20170815
JUIN17SAM,0,0,0,0,0,1,0,20170624,20170825,GTF_STL_20170815
