Année,Ligne,Achalandage
2017.0,2,9843.0
2017.0,12,14750.0
2017.0,17,610770.0
2017.0,20,257993.0
2017.0,22,244229.0
2017.0,24,755548.0
2017.0,26,1322705.0
2017.0,27,324005.0
2017.0,31,494138.0
2017.0,33,300813.0
2017.0,36,153158.0
2017.0,37,283083.0
2017.0,39,579171.0
2017.0,40,485485.0
2017.0,41,51519.0
2017.0,42,1698226.0
2017.0,43,274616.0
2017.0,45,162867.0
2017.0,46,540120.0
2017.0,48,471505.0
2017.0,50,451708.0
2017.0,52,274439.0
2017.0,55,371451.0
2017.0,56,437743.0
2017.0,58,417268.0
2017.0,60,290138.0
2017.0,61,399910.0
2017.0,63,598797.0
2017.0,65,631264.0
2017.0,66,317170.0
2017.0,70,696299.0
2017.0,73,933622.0
2017.0,74,331616.0
2017.0,76,749951.0
2017.0,144,470929.0
2017.0,151,1099512.0
2017.0,222,142030.0
2017.0,252,105904.0
2017.0,360,35948.0
2017.0,402,22726.0
2017.0,404,27031.0
2017.0,901,87239.0
2017.0,902,168915.0
2017.0,903,351102.0
2017.0,925,106324.0
2017.0,scolaire,1178599.0
2018.0,2,16212.0
2018.0,12,17760.0
2018.0,17,674707.0
2018.0,20,283499.0
2018.0,22,298637.0
2018.0,24,837397.0
2018.0,26,1547473.0
2018.0,27,353717.0
2018.0,31,552132.0
2018.0,33,335148.0
2018.0,36,183108.0
2018.0,37,320601.0
2018.0,39,604908.0
2018.0,40,545564.0
2018.0,41,49804.0
2018.0,42,1931849.0
2018.0,43,303794.0
2018.0,45,298997.0
2018.0,46,594701.0
2018.0,48,528116.0
2018.0,50,509874.0
2018.0,52,301571.0
2018.0,55,399667.0
2018.0,56,482145.0
2018.0,58,452564.0
2018.0,60,325879.0
2018.0,61,443031.0
2018.0,63,642519.0
2018.0,65,778363.0
2018.0,66,332858.0
2018.0,70,816214.0
2018.0,73,1003722.0
2018.0,74,379512.0
2018.0,76,886988.0
2018.0,144,516853.0
2018.0,151,1202487.0
2018.0,222,165864.0
2018.0,252,112339.0
2018.0,360,70859.0
2018.0,402,25012.0
2018.0,404,10936.0
2018.0,901,94242.0
2018.0,902,185556.0
2018.0,903,404305.0
2018.0,925,115173.0
2018.0,942,8141.0
2018.0,scolaire,953894.0
2019.0,2,18536.0
2019.0,12,23464.0
2019.0,17,692748.0
2019.0,20,286720.0
2019.0,22,301943.0
2019.0,24,863555.0
2019.0,26,1701013.0
2019.0,27,357030.0
2019.0,31,588620.0
2019.0,33,346353.0
2019.0,36,183918.0
2019.0,37,325177.0
2019.0,39,608947.0
