service_id,route_id,count,route_name
AOUT21DIM,AOUT2112E,16,12E
AOUT21DIM,AOUT2112O,16,12O
AOUT21DIM,AOUT21144E,26,144E
AOUT21DIM,AOUT21144O,27,144O
AOUT21DIM,AOUT21151N,28,151N
AOUT21DIM,AOUT21151S,27,151S
AOUT21DIM,AOUT2117N,23,17N
AOUT21DIM,AOUT2117S,21,17S
AOUT21DIM,AOUT2120E,17,20E
AOUT21DIM,AOUT2120O,16,20O
AOUT21DIM,AOUT21222E,6,222E
AOUT21DIM,AOUT21222O,6,222O
AOUT21DIM,AOUT2122E,16,22E
AOUT21DIM,AOUT2122O,14,22O
AOUT21DIM,AOUT2124E,28,24E
AOUT21DIM,AOUT2124O,28,24O
AOUT21DIM,AOUT2126E,47,26E
AOUT21DIM,AOUT2126O,51,26O
AOUT21DIM,AOUT2127N,18,27N
AOUT21DIM,AOUT2127S,18,27S
AOUT21DIM,AOUT21313N,1,313N
AOUT21DIM,AOUT21313S,1,313S
AOUT21DIM,AOUT2131N,18,31N
AOUT21DIM,AOUT2131S,20,31S
AOUT21DIM,AOUT2133N,12,33N
AOUT21DIM,AOUT2133S,11,33S
AOUT21DIM,AOUT21360N,25,360N
AOUT21DIM,AOUT2137N,13,37N
AOUT21DIM,AOUT2137S,13,37S
AOUT21DIM,AOUT2139N,26,39N
AOUT21DIM,AOUT2139S,24,39S
AOUT21DIM,AOUT2140E,26,40E
AOUT21DIM,AOUT2140O,26,40O
AOUT21DIM,AOUT2142E,50,42E
AOUT21DIM,AOUT2142O,50,42O
AOUT21DIM,AOUT2143N,20,43N
AOUT21DIM,AOUT2143S,20,43S
AOUT21DIM,AOUT2145N,18,45N
AOUT21DIM,AOUT2145S,18,45S
AOUT21DIM,AOUT2146N,30,46N
AOUT21DIM,AOUT2146S,29,46S
AOUT21DIM,AOUT2148E,20,48E
AOUT21DIM,AOUT2148O,19,48O
AOUT21DIM,AOUT2150E,25,50E
AOUT21DIM,AOUT2150O,25,50O
AOUT21DIM,AOUT2152E,19,52E
AOUT21DIM,AOUT2152O,18,52O
AOUT21DIM,AOUT2155N,17,55N
AOUT21DIM,AOUT2155S,18,55S
AOUT21DIM,AOUT2156E,27,56E
AOUT21DIM,AOUT2156O,27,56O
AOUT21DIM,AOUT2158E,18,58E
AOUT21DIM,AOUT2158O,17,58O
AOUT21DIM,AOUT2160E,17,60E
AOUT21DIM,AOUT2160O,19,60O
AOUT21DIM,AOUT2161N,19,61N
AOUT21DIM,AOUT2161S,18,61S
AOUT21DIM,AOUT2163N,19,63N
AOUT21DIM,AOUT2163S,17,63S
AOUT21DIM,AOUT2165N,19,65N
AOUT21DIM,AOUT2165S,17,65S
AOUT21DIM,AOUT2166E,27,66E
AOUT21DIM,AOUT2166O,26,66O
AOUT21DIM,AOUT2170E,26,70E
AOUT21DIM,AOUT2170O,28,70O
AOUT21DIM,AOUT2173N,19,73N
AOUT21DIM,AOUT2173S,21,73S
AOUT21DIM,AOUT2174E,17,74E
AOUT21DIM,AOUT2174O,18,74O
AOUT21DIM,AOUT2176E,31,76E
AOUT21DIM,AOUT2176O,29,76O
AOUT21DIM,AOUT21903N,17,903N
AOUT21DIM,AOUT21903S,15,903S
AOUT21SAM,AOUT2112E,17,12E
AOUT21SAM,AOUT2112O,17,12O
AOUT21SAM,AOUT21144E,28,144E
AOUT21SAM,AOUT21144O,28,144O
AOUT21SAM,AOUT21151N,29,151N
AOUT21SAM,AOUT21151S,27,151S
AOUT21SAM,AOUT2117N,24,17N
AOUT21SAM,AOUT2117S,21,17S
AOUT21SAM,AOUT2120E,18,20E
AOUT21SAM,AOUT2120O,18,20O
AOUT21SAM,AOUT21222E,8,222E
AOUT21SAM,AOUT21222O,7,222O
AOUT21SAM,AOUT2122E,17,22E
AOUT21SAM,AOUT2122O,16,22O
AOUT21SAM,AOUT2124E,30,24E
AOUT21SAM,AOUT2124O,30,24O
AOUT21SAM,AOUT2126E,51,26E
AOUT21SAM,AOUT2126O,51,26O
AOUT21SAM,AOUT2127N,21,27N
AOUT21SAM,AOUT2127S,20,27S
AOUT21SAM,AOUT212E,3,2E
AOUT21SAM,AOUT212O,2,2O
AOUT21SAM,AOUT21313N,1,313N
AOUT21SAM,AOUT21313S,1,313S
AOUT21SAM,AOUT2131N,19,31N
AOUT21SAM,AOUT2131S,21,31S
AOUT21SAM,AOUT2133N,12,33N
AOUT21SAM,AOUT2133S,11,33S
AOUT21SAM,AOUT21360N,36,360N
AOUT21SAM,AOUT2137N,13,37N
AOUT21SAM,AOUT2137S,13,37S
AOUT21SAM,AOUT2139N,26,39N
AOUT21SAM,AOUT2139S,24,39S
AOUT21SAM,AOUT2140E,27,40E
AOUT21SAM,AOUT2140O,27,40O
AOUT21SAM,AOUT2142E,51,42E
AOUT21SAM,AOUT2142O,51,42O
AOUT21SAM,AOUT2143N,20,43N
AOUT21SAM,AOUT2143S,22,43S
AOUT21SAM,AOUT2145N,18,45N
AOUT21SAM,AOUT2145S,18,45S
AOUT21SAM,AOUT2146N,30,46N
AOUT21SAM,AOUT2146S,30,46S
AOUT21SAM,AOUT2148E,22,48E
AOUT21SAM,AOUT2148O,23,48O
AOUT21SAM,AOUT2150E,25,50E
AOUT21SAM,AOUT2150O,26,50O
AOUT21SAM,AOUT2152E,21,52E
AOUT21SAM,AOUT2152O,19,52O
AOUT21SAM,AOUT2155N,18,55N
AOUT21SAM,AOUT2155S,18,55S
AOUT21SAM,AOUT2156E,27,56E
AOUT21SAM,AOUT2156O,28,56O
AOUT21SAM,AOUT2158E,19,58E
AOUT21SAM,AOUT2158O,19,58O
AOUT21SAM,AOUT2160E,19,60E
AOUT21SAM,AOUT2160O,20,60O
AOUT21SAM,AOUT2161N,20,61N
AOUT21SAM,AOUT2161S,19,61S
AOUT21SAM,AOUT2163N,21,63N
AOUT21SAM,AOUT2163S,21,63S
AOUT21SAM,AOUT2165N,21,65N
AOUT21SAM,AOUT2165S,18,65S
AOUT21SAM,AOUT2166E,27,66E
AOUT21SAM,AOUT2166O,26,66O
AOUT21SAM,AOUT2170E,26,70E
AOUT21SAM,AOUT2170O,28,70O
AOUT21SAM,AOUT2173N,22,73N
AOUT21SAM,AOUT2173S,23,73S
AOUT21SAM,AOUT2174E,17,74E
AOUT21SAM,AOUT2174O,18,74O
AOUT21SAM,AOUT2176E,31,76E
AOUT21SAM,AOUT2176O,31,76O
AOUT21SAM,AOUT21903N,18,903N
AOUT21SAM,AOUT21903S,17,903S
AOUT21SEM,AOUT2112E,21,12E
AOUT21SEM,AOUT2112O,21,12O
AOUT21SEM,AOUT21144E,38,144E
AOUT21SEM,AOUT21144O,40,144O
AOUT21SEM,AOUT21151N,65,151N
AOUT21SEM,AOUT21151S,67,151S
AOUT21SEM,AOUT2117N,40,17N
AOUT21SEM,AOUT2117S,39,17S
AOUT21SEM,AOUT2120E,21,20E
AOUT21SEM,AOUT2120O,20,20O
AOUT21SEM,AOUT21222E,14,222E
AOUT21SEM,AOUT21222O,18,222O
