route_name,NOEL16DIM,JRAN17DIM,NOEL17DIM,JRAN18DIM,NOEL18DIM,JRAN19DIM,NOEL19DIM,JRAN20DIM
12E,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0
12O,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0
144E,17.0,17.0,17.0,17.0,21.0,21.0,17.0,17.0
144O,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0
151N,28.0,28.0,28.0,28.0,29.0,29.0,26.0,26.0
151S,27.0,27.0,27.0,27.0,28.0,28.0,25.0,25.0
17N,23.0,23.0,23.0,23.0,23.0,23.0,22.0,22.0
17S,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
20E,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
20O,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
222E,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0
222O,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0
22E,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22O,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
24E,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
24O,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
26E,35.0,35.0,35.0,35.0,35.0,35.0,32.0,32.0
26O,39.0,39.0,39.0,39.0,40.0,40.0,36.0,36.0
27N,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
27S,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
313N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31N,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0
31S,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0
33N,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0
33S,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
360N,17.0,17.0,17.0,17.0,22.0,22.0,22.0,22.0
37N,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
