route_name,AOUT16SEM,JANV17SEM,MARS17SEM,JUIN17SEM,AOUT17SEM,JANV18SEM,MARS18SEM,JUIN18SEM,AOUT18SEM,JANV19SEM,MARS19SEM,JUIN19SEM,AOUT19SEM,JANV20SEM,MARS20SEM,REMX20SEM,JUIN20SEM,AOUT20SEM,JANV21SEM,MARS21SEM,JUIN21SEM,AOUT21SEM,JANV22SEM,MARS22SEM,JUIN22SEM,OCTO22SEM,JANV23SEM,MARS23SEM,JUIN23SEM,AOUT23SEM,OCTO23SEM,JANV24SEM,MARS24SEM,JUIN24SEM,AOUT24SEM
12E,22.0,22.0,22.0,21.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,18.0,17.0
12O,22.0,22.0,22.0,21.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,18.0,17.0
144E,38.0,39.0,39.0,34.0,40.0,40.0,40.0,34.0,40.0,42.0,43.0,34.0,41.0,41.0,41.0,41.0,34.0,38.0,38.0,38.0,34.0,38.0,38.0,38.0,34.0,37.0,37.0,37.0,34.0,37.0,37.0,37.0,37.0,32.0,37.0
144O,38.0,38.0,38.0,34.0,38.0,38.0,38.0,33.0,37.0,38.0,41.0,33.0,41.0,43.0,43.0,43.0,31.0,40.0,40.0,40.0,33.0,40.0,40.0,40.0,33.0,39.0,39.0,39.0,33.0,39.0,39.0,39.0,39.0,32.0,39.0
151N,52.0,52.0,52.0,40.0,52.0,54.0,54.0,40.0,54.0,54.0,55.0,42.0,55.0,66.0,66.0,66.0,50.0,63.0,65.0,65.0,49.0,65.0,65.0,65.0,49.0,70.0,70.0,63.0,49.0,63.0,63.0,63.0,63.0,48.0,60.0
151S,54.0,53.0,53.0,46.0,53.0,53.0,53.0,46.0,53.0,53.0,54.0,45.0,55.0,67.0,67.0,67.0,50.0,67.0,67.0,67.0,49.0,67.0,67.0,67.0,49.0,74.0,74.0,68.0,49.0,68.0,68.0,68.0,68.0,47.0,68.0
17N,40.0,40.0,40.0,27.0,40.0,40.0,40.0,27.0,40.0,40.0,40.0,27.0,46.0,46.0,46.0,46.0,33.0,36.0,40.0,40.0,35.0,40.0,40.0,40.0,35.0,40.0,37.0,37.0,35.0,37.0,37.0,37.0,37.0,24.0,24.0
17S,35.0,35.0,35.0,24.0,35.0,35.0,35.0,24.0,35.0,35.0,35.0,24.0,40.0,41.0,41.0,41.0,34.0,39.0,39.0,39.0,35.0,39.0,39.0,39.0,35.0,40.0,37.0,37.0,35.0,37.0,37.0,37.0,37.0,23.0,23.0
20E,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
20O,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
