route_id,service_id,trip_id,shape_id,wheelchair_accessible,trip_headsign
12E,DIM,12E2D10321190527,12E,2,Pont-Viau
12E,DIM,12E2D12819190523,12E,2,Pont-Viau
12E,DIM,12E2D14120190525,12E,2,Pont-Viau
12E,DIM,12E2D15923190531,12E,2,Pont-Viau
12E,DIM,12E2D17722190529,12E,2,Pont-Viau
12E,DIM,12E2D1909190503,12E,2,Pont-Viau
12E,DIM,12E2D2514190513,12E,2,Pont-Viau
12E,DIM,12E2D3110190505,12E,2,Pont-Viau
12E,DIM,12E2D4608190501,12E,2,Pont-Viau
12E,DIM,12E2D4612190509,12E,2,Pont-Viau
12E,DIM,12E2D7511190507,12E,2,Pont-Viau
12E,DIM,12E2D7618190521,12E,2,Pont-Viau
12E,DIM,12E2D813190511,12E,2,Pont-Viau
12E,DIM,12E2D8616190517,12E,2,Pont-Viau
12E,DIM,12E2D9215200515,12E,2,Pont-Viau
12E,DIM,12E2D9417190519,12E,2,Pont-Viau
12E,SEM,12E2L10113000017,12E,2,Pont-Viau
12E,SEM,12E2L10607040003,12E,2,Pont-Viau
12E,SEM,12E2L19216000025,12E,2,Pont-Viau
12E,SEM,12E2L22714300021,12E,2,Pont-Viau
12E,SEM,12E2L23115150023,12E,2,Pont-Viau
12E,SEM,12E2L24108300007,12E,2,Pont-Viau
12E,SEM,12E2L24411200013,12E,2,Pont-Viau
12E,SEM,12E2L24916450027,12E,2,Pont-Viau
12E,SEM,12E2L25818350031,12E,2,Pont-Viau
12E,SEM,12E2L25921350037,12E,2,Pont-Viau
12E,SEM,12E2L27319350033,12E,2,Pont-Viau
12E,SEM,12E2L3009200009,12E,2,Pont-Viau
12E,SEM,12E2L30317350029,12E,2,Pont-Viau
12E,SEM,12E2L30422350039,12E,2,Pont-Viau
12E,SEM,12E2L30723350041,12E,2,Pont-Viau
12E,SEM,12E2L32020350035,12E,2,Pont-Viau
12E,SEM,12E2L3512100015,12E,2,Pont-Viau
12E,SEM,12E2L5807460005,12E,2,Pont-Viau
12E,SEM,12E2L6910200011,12E,2,Pont-Viau
12E,SEM,12E2L7106260001,12E,2,Pont-Viau
12E,SEM,12E2L7313450019,12E,2,Pont-Viau
12E,SAM,12E2S10619190325,12E,2,Pont-Viau
12E,SAM,12E2S11315190317,12E,2,Pont-Viau
12E,SAM,12E2S12117190321,12E,2,Pont-Viau
12E,SAM,12E2S12621190329,12E,2,Pont-Viau
12E,SAM,12E2S13116190319,12E,2,Pont-Viau
12E,SAM,12E2S14423190333,12E,2,Pont-Viau
12E,SAM,12E2S14720190327,12E,2,Pont-Viau
12E,SAM,12E2S14922190331,12E,2,Pont-Viau
12E,SAM,12E2S2813190313,12E,2,Pont-Viau
12E,SAM,12E2S3110190307,12E,2,Pont-Viau
12E,SAM,12E2S3207190301,12E,2,Pont-Viau
12E,SAM,12E2S3609190305,12E,2,Pont-Viau
12E,SAM,12E2S3708190303,12E,2,Pont-Viau
12E,SAM,12E2S5814190315,12E,2,Pont-Viau
12E,SAM,12E2S6312190311,12E,2,Pont-Viau
12E,SAM,12E2S8311190309,12E,2,Pont-Viau
12E,SAM,12E2S9918200323,12E,2,Pont-Viau
12O,DIM,12O1D10321240528,12O,2,Métro Cartier
12O,DIM,12O1D12819240524,12O,2,Métro Cartier
12O,DIM,12O1D14120240526,12O,2,Métro Cartier
12O,DIM,12O1D15923240532,12O,2,Métro Cartier
12O,DIM,12O1D17722240530,12O,2,Métro Cartier
12O,DIM,12O1D1909240504,12O,2,Métro Cartier
12O,DIM,12O1D2514240514,12O,2,Métro Cartier
12O,DIM,12O1D3110240506,12O,2,Métro Cartier
12O,DIM,12O1D4608240502,12O,2,Métro Cartier
12O,DIM,12O1D4612240510,12O,2,Métro Cartier
12O,DIM,12O1D7511240508,12O,2,Métro Cartier
12O,DIM,12O1D7618240522,12O,2,Métro Cartier
12O,DIM,12O1D813240512,12O,2,Métro Cartier
12O,DIM,12O1D8616240518,12O,2,Métro Cartier
12O,DIM,12O1D9215250516,12O,2,Métro Cartier
12O,DIM,12O1D9417240520,12O,2,Métro Cartier
12O,SEM,12O1L10113050018,12O,2,Métro Cartier
12O,SEM,12O1L10607090004,12O,2,Métro Cartier
12O,SEM,12O1L19216050026,12O,2,Métro Cartier
12O,SEM,12O1L22714350022,12O,2,Métro Cartier
12O,SEM,12O1L23115200024,12O,2,Métro Cartier
12O,SEM,12O1L24108350008,12O,2,Métro Cartier
12O,SEM,12O1L24411250014,12O,2,Métro Cartier
12O,SEM,12O1L24916500028,12O,2,Métro Cartier
12O,SEM,12O1L25818390032,12O,2,Métro Cartier
12O,SEM,12O1L25921390038,12O,2,Métro Cartier
12O,SEM,12O1L27319390034,12O,2,Métro Cartier
12O,SEM,12O1L3009250010,12O,2,Métro Cartier
12O,SEM,12O1L30317400030,12O,2,Métro Cartier
12O,SEM,12O1L30422390040,12O,2,Métro Cartier
12O,SEM,12O1L30723390042,12O,2,Métro Cartier
12O,SEM,12O1L32020390036,12O,2,Métro Cartier
12O,SEM,12O1L3512150016,12O,2,Métro Cartier
12O,SEM,12O1L5807510006,12O,2,Métro Cartier
12O,SEM,12O1L6910250012,12O,2,Métro Cartier
12O,SEM,12O1L7106310002,12O,2,Métro Cartier
12O,SEM,12O1L7313500020,12O,2,Métro Cartier
12O,SAM,12O1S10619240326,12O,2,Métro Cartier
12O,SAM,12O1S11315240318,12O,2,Métro Cartier
12O,SAM,12O1S12117240322,12O,2,Métro Cartier
12O,SAM,12O1S12621240330,12O,2,Métro Cartier
12O,SAM,12O1S13116240320,12O,2,Métro Cartier
12O,SAM,12O1S14423240334,12O,2,Métro Cartier
12O,SAM,12O1S14720240328,12O,2,Métro Cartier
12O,SAM,12O1S14922240332,12O,2,Métro Cartier
12O,SAM,12O1S2813240314,12O,2,Métro Cartier
12O,SAM,12O1S3110240308,12O,2,Métro Cartier
12O,SAM,12O1S3207240302,12O,2,Métro Cartier
12O,SAM,12O1S3609240306,12O,2,Métro Cartier
12O,SAM,12O1S3708240304,12O,2,Métro Cartier
12O,SAM,12O1S5814240316,12O,2,Métro Cartier
12O,SAM,12O1S6312240312,12O,2,Métro Cartier
12O,SAM,12O1S8311240310,12O,2,Métro Cartier
12O,SAM,12O1S9918250324,12O,2,Métro Cartier
144E,DIM,144E2D10414190526,144E,2,Métro Côte-Vertu
144E,DIM,144E2D10415490532,144E,2,Métro Côte-Vertu
144E,DIM,144E2D10417200538,144E,2,Métro Côte-Vertu
144E,DIM,144E2D10618490542,144E,2,Métro Côte-Vertu
144E,DIM,144E2D12022450550,144E,2,Métro Côte-Vertu
144E,DIM,144E2D12320460546,144E,2,Métro Côte-Vertu
