service_id,date,exception_type
DIM,20210110,1
DIM,20210117,1
DIM,20210124,1
DIM,20210131,1
DIM,20210314,1
DIM,20210214,1
DIM,20210221,1
DIM,20210228,1
DIM,20210307,1
DIM,20210207,1
SAM,20210109,1
SAM,20210116,1
SAM,20210123,1
SAM,20210130,1
SAM,20210206,1
SAM,20210213,1
SAM,20210220,1
SAM,20210227,1
SAM,20210306,1
SAM,20210313,1
SEM,20210111,1
SEM,20210319,1
SEM,20210113,1
SEM,20210114,1
SEM,20210115,1
SEM,20210118,1
SEM,20210119,1
SEM,20210120,1
SEM,20210121,1
SEM,20210122,1
SEM,20210125,1
SEM,20210126,1
SEM,20210127,1
SEM,20210128,1
SEM,20210129,1
SEM,20210201,1
SEM,20210202,1
SEM,20210203,1
SEM,20210204,1
SEM,20210205,1
SEM,20210208,1
SEM,20210209,1
SEM,20210210,1
SEM,20210211,1
SEM,20210212,1
SEM,20210215,1
SEM,20210216,1
SEM,20210217,1
SEM,20210218,1
SEM,20210219,1
SEM,20210222,1
SEM,20210223,1
SEM,20210224,1
SEM,20210225,1
SEM,20210226,1
SEM,20210301,1
SEM,20210302,1
SEM,20210303,1
SEM,20210304,1
SEM,20210305,1
SEM,20210308,1
SEM,20210309,1
SEM,20210310,1
SEM,20210311,1
SEM,20210312,1
SEM,20210315,1
SEM,20210316,1
SEM,20210317,1
SEM,20210318,1
SEM,20210112,1
