route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_headsign,route_color,route_text_color,accessible
12E,STL,12,Pont-Viau,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=12E,PONT-VIAU,151f6d,FFFFFF,0
12O,STL,12,Métro Cartier,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=12O,CARTIER,151f6d,FFFFFF,0
144E,STL,144,Métro Côte-Vertu,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=144E,COTE-VERTU,151f6d,FFFFFF,0
144O,STL,144,Sainte-Dorothée,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=144O,STEDOROTHEE,151f6d,FFFFFF,0
151N,STL,151,Sainte-Rose,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=151N,STE-ROSE,151f6d,FFFFFF,0
151S,STL,151,Métro Côte-Vertu,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=151S,COTE-VERTU,151f6d,FFFFFF,0
17N,STL,17,Auteuil,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=17N,AUTEUIL,151f6d,FFFFFF,0
17S,STL,17,Métro Cartier,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=17S,CARTIER,151f6d,FFFFFF,0
2E,STL,2,Métro Henri-Bourassa,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=2E,H-BOURASSA,151f6d,FFFFFF,1
2O,STL,2,Métro Montmorency,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=2O,MONTMORENCY,151f6d,FFFFFF,1
20E,STL,20,Métro Cartier,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=20E,CARTIER,151f6d,FFFFFF,1
20O,STL,20,Chomedey,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=20O,CHOMEDEY,151f6d,FFFFFF,1
22E,STL,22,Saint-François,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=22E,ST-FRANCOIS,151f6d,FFFFFF,0
22O,STL,22,Métro Cartier,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=22O,CARTIER,151f6d,FFFFFF,0
222E,STL,222,Saint-Vincent-De-Paul,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=222E,ST-VCT-PAUL,151f6d,FFFFFF,0
222O,STL,222,Métro Cartier,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=222O,CARTIER,151f6d,FFFFFF,0
24E,STL,24,Métro Cartier,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=24E,CARTIER,151f6d,FFFFFF,1
24O,STL,24,Sainte-Dorothée,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=24O,STEDOROTHEE,151f6d,FFFFFF,1
252E,STL,252,Saint-François,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=252E,ST-FRANCOIS,151f6d,FFFFFF,0
252O,STL,252,Métro Henri-Bourassa,3,http://www.stl.laval.qc.ca/lang/fr/horaires-et-trajets/?page_id=2361&route_id=252O,H-BOURASSA,151f6d,FFFFFF,0
