stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
CP40002,40002,terminus Henri-Bourassa Quai: 4,-73.66721,45.555819,0,0,1,0
CP40102,40102,terminus Henri-Bourassa,-73.66729,45.556091,0,0,1,0
CP40131,40131,terminus Henri-Bourassa,-73.66755,45.557023,0,0,2,0
CP40144,40144,métro Côte-Vertu Quai: 20,-73.68271,45.513219,0,0,1,0
CP40151,40151,métro Côte-Vertu Quai: 19,-73.68253,45.513359,0,0,1,0
CP40155,40155,terminus Henri-Bourassa,-73.66861,45.554101,0,0,2,0
CP40802,40802,métro Côte-Vertu Quai: 18,-73.68225,45.513608,0,0,1,0
CP40925,40925,métro Radisson Quai: 6,-73.54004,45.589823,0,0,1,0
CP40935,40935,métro Radisson / Radisson,-73.53936,45.589521,0,0,2,0
CP41004,41004,de Langeais / de Gascogne,-73.71004,45.576805,0,0,1,0
41005,41005,Ampère / de Noirmoutier,-73.70667,45.559538,0,0,2,0
CP41006,41006,Ampère / de Clairvaux,-73.70785,45.561048,0,0,2,0
41008,41008,Ampère / de Noirmoutier,-73.70632,45.559476,0,0,2,0
CP41009,41009,Des Lacasse / d'Aveiro,-73.72841,45.631258,0,0,2,0
41010,41010,Des Lacasse / de Gap,-73.73133,45.628949,0,0,2,0
41011,41011,Des Lacasse / René-Laennec,-73.73322,45.628009,0,0,2,0
41012,41012,René-Laennec / Prudentiel,-73.72971,45.624966,0,0,1,0
41013,41013,René-Laennec / Aladin,-73.72576,45.621303,0,0,1,0
41014,41014,René-Laennec / Bellerose,-73.72402,45.619695,0,0,1,0
41015,41015,René-Laennec / de Lausanne,-73.72498,45.620593,0,0,1,0
41016,41016,Prudentiel / de Montévideo,-73.72165,45.624658,0,0,2,0
41017,41017,Prudentiel / De La Gironde,-73.72268,45.626179,0,0,2,0
41018,41018,Le Carrefour / Le Corbusier,-73.74198,45.572103,0,0,1,0
41020,41020,Alton-Goldbloom / Dale,-73.73824,45.546618,0,0,1,0
CP41022,41022,Alton-Goldbloom / face à l'hôpital,-73.73698,45.548421,0,0,1,1
41028,41028,de l'Avenir / Souvenir,-73.72204,45.561381,0,0,1,1
41029,41029,4e Avenue / 5e Avenue,-73.77055,45.642648,0,0,2,0
41030,41030,5e Avenue / 12e Avenue,-73.77029,45.640354,0,0,2,0
41031,41031,5e Avenue / 8e Avenue,-73.77056,45.641352,0,0,2,0
41032,41032,4e Avenue / 7e Avenue,-73.76979,45.64274,0,0,2,0
41033,41033,12e Avenue / Parc-des-Érables,-73.76945,45.640194,0,0,2,0
41039,41039,12e Avenue / 19e Rue,-73.70308,45.566834,0,0,1,0
41040,41040,12e Avenue / 19e Rue,-73.70341,45.56686,0,0,1,0
41041,41041,12e Avenue / du Souvenir,-73.7056,45.569187,0,0,1,0
41042,41042,12e Avenue / de Côte d'Azur,-73.7055,45.568692,0,0,2,0
41043,41043,12e Avenue / de Bourges,-73.70206,45.565657,0,0,1,0
41045,41045,Cousteau / Sainte-Rose,-73.84205,45.567654,0,0,2,0
41046,41046,Cousteau / Séguin,-73.8445,45.570184,0,0,2,0
41047,41047,43e Avenue / Séguin,-73.83831,45.57319,0,0,2,0
41048,41048,43e Avenue / face au 987,-73.83665,45.571503,0,0,2,0
41049,41049,43e Avenue / face 990,-73.83671,45.571386,0,0,2,0
41050,41050,Sainte-Rose / Sauriol,-73.83424,45.569487,0,0,1,1
CP41056,41056,100e Avenue / Samson,-73.75967,45.528575,0,0,1,1
41057,41057,100e Avenue / Notre-Dame,-73.765,45.535968,0,0,1,0
CP41058,41058,100e Avenue / Samson,-73.7598,45.5285,0,0,1,1
41059,41059,100e Avenue / 4e Rue,-73.76128,45.530182,0,0,1,0
41060,41060,100e Avenue / 4e Rue,-73.76156,45.530253,0,0,1,0
41061,41061,100e Avenue / 9e Rue,-73.76278,45.53169,0,0,1,0
41062,41062,100e Avenue / 9e Rue,-73.76322,45.531914,0,0,1,0
41063,41063,100e Avenue / Montcalm,-73.76422,45.534359,0,0,1,0
41064,41064,100e Avenue / Montcalm,-73.76441,45.534494,0,0,1,0
41067,41067,de Belgrade / Cyrille-Delage,-73.74197,45.614395,0,0,2,0
CP41068,41068,terminus Bienville,-73.75014,45.657848,0,0,2,1
41070,41070,des Laurentides / Jean-Coutu,-73.74825,45.651085,0,0,2,0
CP41071,41071,de Belgrade / des Laurentides,-73.74058,45.615278,0,0,1,0
41072,41072,de Belgrade / de Gruyères,-73.73786,45.616833,0,0,2,0
41073,41073,de Belgrade / Prudentiel,-73.73571,45.617683,0,0,2,0
41074,41074,de Belgrade / de Gruyères,-73.73792,45.616608,0,0,2,0
41076,41076,de Belgrade / Olivier-Chauveau,-73.74823,45.612204,0,0,2,0
41077,41077,de Belgrade / Olivier-Chauveau,-73.74785,45.612205,0,0,1,0
41078,41078,de Belgrade / Rio,-73.74626,45.612946,0,0,2,0
41080,41080,Bellehumeur / des Laurentides,-73.75447,45.645213,0,0,2,0
41081,41081,Bellehumeur / face au 7340,-73.75515,45.64739,0,0,2,0
41082,41082,Bellehumeur / face au 7365,-73.75528,45.647434,0,0,2,0
41083,41083,Bellehumeur / Brochu,-73.75581,45.649575,0,0,2,0
41084,41084,Bellerose / René-Laennec,-73.72424,45.619218,0,0,2,1
41085,41085,Bellerose / face au 36,-73.73895,45.609175,0,0,2,0
41086,41086,Bellerose / des Laurentides,-73.73721,45.610544,0,0,1,0
41087,41087,Bellerose / des Laurentides,-73.73698,45.610428,0,0,1,0
41088,41088,Bellerose / face au 39,-73.73907,45.609328,0,0,2,0
41089,41089,Bellerose / Marc,-73.73279,45.612659,0,0,1,0
41091,41091,Bellerose / de Lorca,-73.73031,45.61423,0,0,2,0
41092,41092,Bellerose / de Palerme,-73.72781,45.615792,0,0,2,0
41093,41093,Bellerose / de Palerme,-73.72794,45.615464,0,0,1,1
CP41094,41094,Bellerose / des Laurentides,-73.73556,45.611493,0,0,2,0
41095,41095,Bellerose / du Rucher,-73.72561,45.617704,0,0,2,1
41096,41096,Bellerose / Marc,-73.73277,45.612947,0,0,2,0
41097,41097,Bellerose / de Lorca,-73.73038,45.614491,0,0,2,0
41098,41098,Bellerose / du Rucher,-73.72578,45.618018,0,0,1,0
41099,41099,Bellerose / René-Laennec,-73.72457,45.619343,0,0,2,0
41101,41101,Belleville / Saint-Germain,-73.65161,45.61114,0,0,2,1
41102,41102,Belleville / Suzor-Côté,-73.65378,45.613359,0,0,1,0
41104,41104,Belleville / Suzor-Côté,-73.65401,45.613332,0,0,2,0
41105,41105,Belleville / Louis-Abel,-73.64711,45.607326,0,0,2,0
41106,41106,Belleville / Louis-Abel,-73.64734,45.607303,0,0,2,0
41107,41107,Belleville / Beausoleil,-73.64913,45.609155,0,0,2,0
41108,41108,Belleville / Beausoleil,-73.64949,45.609244,0,0,2,0
41109,41109,Belleville / Saint-Joseph,-73.65033,45.610224,0,0,2,0
41110,41110,Belleville / Saint-Joseph,-73.65062,45.610269,0,0,2,0
41112,41112,Bérard / face au 58,-73.75757,45.647096,0,0,2,0
41113,41113,Bérard / Brochu,-73.75805,45.649246,0,0,2,0
41114,41114,Bérard / Brindamour,-73.75712,45.64572,0,0,2,0
41115,41115,Bérard / face au 57,-73.75738,45.646944,0,0,2,0
41116,41116,Bérard / des Terrasses,-73.7564,45.643248,0,0,2,0
41117,41117,Bérard / Brindamour,-73.75702,45.64564,0,0,2,0
