service_id,date,exception_type
DIM,20210627,1
DIM,20210704,1
DIM,20210711,1
DIM,20210718,1
DIM,20210725,1
DIM,20210801,1
DIM,20210808,1
DIM,20210815,1
DIM,20210822,1
SAM,20210626,1
SAM,20210701,1
SAM,20210703,1
SAM,20210710,1
SAM,20210717,1
SAM,20210724,1
SAM,20210731,1
SAM,20210807,1
SAM,20210814,1
SAM,20210821,1
SEM,20210628,1
SEM,20210629,1
SEM,20210630,1
SEM,20210701,2
SEM,20210702,1
SEM,20210705,1
SEM,20210706,1
SEM,20210707,1
SEM,20210708,1
SEM,20210709,1
SEM,20210712,1
SEM,20210713,1
SEM,20210714,1
SEM,20210715,1
SEM,20210716,1
SEM,20210719,1
SEM,20210720,1
SEM,20210721,1
SEM,20210722,1
SEM,20210723,1
SEM,20210726,1
SEM,20210727,1
SEM,20210728,1
SEM,20210729,1
SEM,20210730,1
SEM,20210802,1
SEM,20210803,1
SEM,20210804,1
SEM,20210805,1
SEM,20210806,1
SEM,20210809,1
SEM,20210810,1
SEM,20210811,1
SEM,20210812,1
SEM,20210813,1
SEM,20210816,1
SEM,20210817,1
SEM,20210818,1
SEM,20210819,1
SEM,20210820,1
SEM,20210823,1
SEM,20210824,1
SEM,20210825,1
SEM,20210826,1
SEM,20210827,1
