route_id,service_id,trip_id,shape_id,wheelchair_accessible,trip_headsign
12E,DIM,12E2D10517190519,12E,2,Pont-Viau
12E,DIM,12E2D11021190527,12E,2,Pont-Viau
12E,DIM,12E2D11222190529,12E,2,Pont-Viau
12E,DIM,12E2D11915200515,12E,2,Pont-Viau
12E,DIM,12E2D12023190531,12E,2,Pont-Viau
12E,DIM,12E2D1208190501,12E,2,Pont-Viau
12E,DIM,12E2D12716190517,12E,2,Pont-Viau
12E,DIM,12E2D13918190521,12E,2,Pont-Viau
12E,DIM,12E2D16320190525,12E,2,Pont-Viau
12E,DIM,12E2D17119190523,12E,2,Pont-Viau
12E,DIM,12E2D3709190503,12E,2,Pont-Viau
12E,DIM,12E2D4710190505,12E,2,Pont-Viau
12E,DIM,12E2D5613190511,12E,2,Pont-Viau
12E,DIM,12E2D6012190509,12E,2,Pont-Viau
12E,DIM,12E2D8214190513,12E,2,Pont-Viau
12E,DIM,12E2D8711190507,12E,2,Pont-Viau
12E,SEM,12E2L12815150023,12E,2,Pont-Viau
12E,SEM,12E2L14511200013,12E,2,Pont-Viau
12E,SEM,12E2L14710200011,12E,2,Pont-Viau
12E,SEM,12E2L15717360029,12E,2,Pont-Viau
12E,SEM,12E2L16616010025,12E,2,Pont-Viau
12E,SEM,12E2L17013000017,12E,2,Pont-Viau
12E,SEM,12E2L21021350037,12E,2,Pont-Viau
12E,SEM,12E2L21616460027,12E,2,Pont-Viau
12E,SEM,12E2L23822350039,12E,2,Pont-Viau
12E,SEM,12E2L2609200009,12E,2,Pont-Viau
12E,SEM,12E2L26620350035,12E,2,Pont-Viau
12E,SEM,12E2L28923350041,12E,2,Pont-Viau
12E,SEM,12E2L3508300007,12E,2,Pont-Viau
12E,SEM,12E2L3612100015,12E,2,Pont-Viau
12E,SEM,12E2L3907060003,12E,2,Pont-Viau
12E,SEM,12E2L5307460005,12E,2,Pont-Viau
12E,SEM,12E2L6406260001,12E,2,Pont-Viau
12E,SEM,12E2L7814300021,12E,2,Pont-Viau
12E,SEM,12E2L9713450019,12E,2,Pont-Viau
12E,SAM,12E2S12123190333,12E,2,Pont-Viau
12E,SAM,12E2S12916190319,12E,2,Pont-Viau
12E,SAM,12E2S13522190331,12E,2,Pont-Viau
12E,SAM,12E2S14218200323,12E,2,Pont-Viau
