service_id,date,exception_type
DIM,20210321,1
DIM,20210624,1
DIM,20210404,1
DIM,20210411,1
DIM,20210418,1
DIM,20210425,1
DIM,20210502,1
DIM,20210509,1
DIM,20210516,1
DIM,20210523,1
DIM,20210530,1
DIM,20210606,1
DIM,20210613,1
DIM,20210620,1
DIM,20210328,1
SAM,20210320,1
SAM,20210327,1
SAM,20210402,1
SAM,20210403,1
SAM,20210405,1
SAM,20210410,1
SAM,20210417,1
SAM,20210424,1
SAM,20210501,1
SAM,20210508,1
SAM,20210515,1
SAM,20210522,1
SAM,20210524,1
SAM,20210529,1
SAM,20210605,1
SAM,20210612,1
SAM,20210619,1
SEM,20210618,1
SEM,20210621,1
SEM,20210622,1
SEM,20210623,1
SEM,20210624,2
SEM,20210625,1
SEM,20210322,1
SEM,20210323,1
SEM,20210324,1
SEM,20210325,1
SEM,20210326,1
SEM,20210329,1
SEM,20210330,1
SEM,20210331,1
SEM,20210401,1
SEM,20210402,2
SEM,20210405,2
SEM,20210406,1
SEM,20210407,1
SEM,20210408,1
SEM,20210409,1
SEM,20210412,1
SEM,20210413,1
SEM,20210414,1
SEM,20210415,1
SEM,20210416,1
SEM,20210419,1
SEM,20210420,1
SEM,20210421,1
SEM,20210422,1
SEM,20210423,1
SEM,20210426,1
SEM,20210427,1
SEM,20210428,1
SEM,20210429,1
SEM,20210430,1
SEM,20210503,1
SEM,20210504,1
SEM,20210505,1
SEM,20210506,1
SEM,20210507,1
SEM,20210510,1
SEM,20210511,1
SEM,20210512,1
SEM,20210513,1
SEM,20210514,1
SEM,20210517,1
SEM,20210518,1
SEM,20210519,1
SEM,20210520,1
SEM,20210521,1
SEM,20210524,2
SEM,20210525,1
SEM,20210526,1
SEM,20210527,1
SEM,20210528,1
SEM,20210531,1
SEM,20210601,1
SEM,20210602,1
SEM,20210603,1
SEM,20210604,1
SEM,20210607,1
SEM,20210608,1
SEM,20210609,1
SEM,20210610,1
SEM,20210611,1
SEM,20210614,1
SEM,20210615,1
SEM,20210616,1
SEM,20210617,1
