route_id,service_id,trip_id,shape_id,wheelchair_accessible,trip_headsign
12E,DIM,12E2D11617170519,12E,2,Pont-Viau
12E,DIM,12E2D11721190527,12E,2,Pont-Viau
12E,DIM,12E2D11823190531,12E,2,Pont-Viau
12E,DIM,12E2D12219190523,12E,2,Pont-Viau
12E,DIM,12E2D13516200517,12E,2,Pont-Viau
12E,DIM,12E2D14120190525,12E,2,Pont-Viau
12E,DIM,12E2D16318240521,12E,2,Pont-Viau
12E,DIM,12E2D17522190529,12E,2,Pont-Viau
12E,DIM,12E2D1909190503,12E,2,Pont-Viau
12E,DIM,12E2D3210190505,12E,2,Pont-Viau
12E,DIM,12E2D4708190501,12E,2,Pont-Viau
12E,DIM,12E2D5115260515,12E,2,Pont-Viau
12E,DIM,12E2D5511200507,12E,2,Pont-Viau
12E,DIM,12E2D5813200511,12E,2,Pont-Viau
12E,DIM,12E2D6812190509,12E,2,Pont-Viau
12E,DIM,12E2D7414200513,12E,2,Pont-Viau
12E,SEM,12E2L11407060003,12E,2,Pont-Viau
12E,SEM,12E2L13412100015,12E,2,Pont-Viau
12E,SEM,12E2L15415150023,12E,2,Pont-Viau
12E,SEM,12E2L16916450027,12E,2,Pont-Viau
12E,SEM,12E2L18311200013,12E,2,Pont-Viau
12E,SEM,12E2L22413450019,12E,2,Pont-Viau
12E,SEM,12E2L2313000017,12E,2,Pont-Viau
12E,SEM,12E2L23808300007,12E,2,Pont-Viau
12E,SEM,12E2L24014300021,12E,2,Pont-Viau
12E,SEM,12E2L26416000025,12E,2,Pont-Viau
12E,SEM,12E2L26619350033,12E,2,Pont-Viau
12E,SEM,12E2L29417350029,12E,2,Pont-Viau
12E,SEM,12E2L33022350039,12E,2,Pont-Viau
12E,SEM,12E2L33718350031,12E,2,Pont-Viau
12E,SEM,12E2L34123350041,12E,2,Pont-Viau
12E,SEM,12E2L34420350035,12E,2,Pont-Viau
12E,SEM,12E2L34821350037,12E,2,Pont-Viau
12E,SEM,12E2L5010200011,12E,2,Pont-Viau
12E,SEM,12E2L5709200009,12E,2,Pont-Viau
12E,SEM,12E2L5907460005,12E,2,Pont-Viau
12E,SEM,12E2L7106260001,12E,2,Pont-Viau
12E,SAM,12E2S112190311,12E,2,Pont-Viau
12E,SAM,12E2S13521190329,12E,2,Pont-Viau
12E,SAM,12E2S14022190331,12E,2,Pont-Viau
12E,SAM,12E2S14820190327,12E,2,Pont-Viau
12E,SAM,12E2S15219190325,12E,2,Pont-Viau
12E,SAM,12E2S17018220323,12E,2,Pont-Viau
12E,SAM,12E2S18423190333,12E,2,Pont-Viau
12E,SAM,12E2S2008190303,12E,2,Pont-Viau
12E,SAM,12E2S2213190313,12E,2,Pont-Viau
12E,SAM,12E2S2511190309,12E,2,Pont-Viau
12E,SAM,12E2S3009190305,12E,2,Pont-Viau
12E,SAM,12E2S3707190301,12E,2,Pont-Viau
12E,SAM,12E2S4915190317,12E,2,Pont-Viau
12E,SAM,12E2S7010190307,12E,2,Pont-Viau
12E,SAM,12E2S8216190319,12E,2,Pont-Viau
12E,SAM,12E2S9517170321,12E,2,Pont-Viau
12E,SAM,12E2S9614200315,12E,2,Pont-Viau
12O,DIM,12O1D11617220520,12O,2,Métro Cartier
12O,DIM,12O1D11721240528,12O,2,Métro Cartier
12O,DIM,12O1D11823240532,12O,2,Métro Cartier
12O,DIM,12O1D12219240524,12O,2,Métro Cartier
12O,DIM,12O1D13516250518,12O,2,Métro Cartier
12O,DIM,12O1D14120240526,12O,2,Métro Cartier
12O,DIM,12O1D16318290522,12O,2,Métro Cartier
12O,DIM,12O1D17522240530,12O,2,Métro Cartier
12O,DIM,12O1D1909240504,12O,2,Métro Cartier
12O,DIM,12O1D3210240506,12O,2,Métro Cartier
12O,DIM,12O1D4708240502,12O,2,Métro Cartier
12O,DIM,12O1D5115310516,12O,2,Métro Cartier
12O,DIM,12O1D5511250508,12O,2,Métro Cartier
12O,DIM,12O1D5813250512,12O,2,Métro Cartier
12O,DIM,12O1D6812240510,12O,2,Métro Cartier
12O,DIM,12O1D7414250514,12O,2,Métro Cartier
12O,SEM,12O1L11407110004,12O,2,Métro Cartier
12O,SEM,12O1L13412150016,12O,2,Métro Cartier
12O,SEM,12O1L15415200024,12O,2,Métro Cartier
12O,SEM,12O1L16916500028,12O,2,Métro Cartier
12O,SEM,12O1L18311250014,12O,2,Métro Cartier
12O,SEM,12O1L22413500020,12O,2,Métro Cartier
12O,SEM,12O1L2313050018,12O,2,Métro Cartier
12O,SEM,12O1L23808350008,12O,2,Métro Cartier
12O,SEM,12O1L24014350022,12O,2,Métro Cartier
12O,SEM,12O1L26416050026,12O,2,Métro Cartier
12O,SEM,12O1L26619390034,12O,2,Métro Cartier
12O,SEM,12O1L29417400030,12O,2,Métro Cartier
12O,SEM,12O1L33022390040,12O,2,Métro Cartier
12O,SEM,12O1L33718390032,12O,2,Métro Cartier
12O,SEM,12O1L34123390042,12O,2,Métro Cartier
12O,SEM,12O1L34420390036,12O,2,Métro Cartier
12O,SEM,12O1L34821390038,12O,2,Métro Cartier
12O,SEM,12O1L5010250012,12O,2,Métro Cartier
12O,SEM,12O1L5709250010,12O,2,Métro Cartier
12O,SEM,12O1L5907510006,12O,2,Métro Cartier
12O,SEM,12O1L7106310002,12O,2,Métro Cartier
12O,SAM,12O1S112240312,12O,2,Métro Cartier
