stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
AOUT19CP40002,40002,Terminus Henri-Bourassa Quai:4 [40002] ,-73.6672,45.555819,0,0,0
AOUT19CP40031,40031,Terminus Henri-Bourassa Quai:9 [40031] ,-73.66993,45.555747,0,0,0
AOUT19CP40052,40052,Terminus Henri-Bourassa Quai:9 [40052] ,-73.66993,45.555747,0,0,0
AOUT19CP40055,40055,Terminus Henri-Bourassa Quai:9 [40055] ,-73.66993,45.555747,0,0,0
AOUT19CP40102,40102,Terminus Henri-Bourassa [40102] ,-73.66728,45.556091,0,0,0
AOUT19CP40131,40131,Terminus Henri-Bourassa [40131] ,-73.66993,45.555747,0,0,0
AOUT19CP40144,40144,Métro Côte-Vertu Quai:20 [40144] ,-73.6827,45.513237,0,0,0
AOUT19CP40151,40151,Métro Côte-Vertu Quai:19 [40151] ,-73.68251,45.513372,0,0,0
AOUT19CP40152,40152,Terminus Henri-Bourassa [40152] ,-73.66993,45.555747,0,0,0
AOUT19CP40155,40155,Terminus Henri-Bourassa [40155] ,-73.66993,45.555747,0,0,0
AOUT19CP40244,40244,Métro Côte-Vertu [40244] ,-73.68268,45.513243,0,0,0
AOUT19CP40251,40251,Métro Côte-Vertu [40251] ,-73.68251,45.513368,0,0,0
AOUT19CP40252,40252,Terminus Henri-Bourassa Quai:9 [40252] ,-73.66993,45.555747,0,0,0
AOUT19CP40253,40253,Terminus Henri-Bourassa [40253] ,-73.66993,45.555747,0,0,0
AOUT19CP40802,40802,Métro Côte-Vertu [40802] ,-73.68225,45.513605,0,0,0
AOUT19CP40902,40902,Métro Côte-Vertu Quai:18 [40902] ,-73.68225,45.513607,0,0,0
AOUT19CP40925,40925,Métro Radisson Quai:6 [40925] ,-73.54003,45.589823,0,0,0
AOUT19CP40935,40935,Métro Radisson / Radisson [40935] ,-73.53935,45.589521,0,0,0
AOUT19CP41004,41004,De Langeais / De Gascogne [41004] ,-73.70995,45.57686,0,0,0
AOUT1941005,41005,Ampère / De Noirmoutier [41005] ,-73.70666,45.559538,0,0,0
AOUT19CP41006,41006,Ampère / De Clairvaux [41006] ,-73.70785,45.561048,0,0,0
AOUT1941008,41008,Ampère / De Noirmoutier [41008] ,-73.70632,45.559476,0,0,0
AOUT19CP41009,41009,Des Lacasse / D'aveiro [41009] ,-73.72841,45.631258,0,0,0
AOUT1941010,41010,Des Lacasse / De Gap [41010] ,-73.73132,45.628948,0,0,0
AOUT1941011,41011,Des Lacasse / René-Laennec [41011] ,-73.73322,45.628009,0,0,0
AOUT1941012,41012,René-Laennec / Prudentiel [41012] ,-73.7297,45.624966,0,0,0
AOUT1941013,41013,René-Laennec / Aladin [41013] ,-73.72575,45.621302,0,0,0
AOUT1941014,41014,René-Laennec / Bellerose [41014] ,-73.72401,45.619695,0,0,0
AOUT1941015,41015,René-Laennec / De Lausanne [41015] ,-73.72498,45.620593,0,0,0
