service_id,date,exception_type
JANV22DIM,20220109,1
JANV22DIM,20220116,1
JANV22DIM,20220123,1
JANV22DIM,20220130,1
JANV22DIM,20220206,1
JANV22DIM,20220213,1
JANV22DIM,20220220,1
JANV22DIM,20220227,1
JANV22DIM,20220306,1
JANV22DIM,20220313,1
JANV22DIM,20220320,1
JANV22SAM,20220108,1
JANV22SAM,20220115,1
JANV22SAM,20220122,1
JANV22SAM,20220129,1
JANV22SAM,20220205,1
JANV22SAM,20220212,1
JANV22SAM,20220219,1
JANV22SAM,20220226,1
JANV22SAM,20220305,1
JANV22SAM,20220312,1
JANV22SAM,20220319,1
JANV22SEM,20220110,1
JANV22SEM,20220111,1
JANV22SEM,20220112,1
JANV22SEM,20220113,1
JANV22SEM,20220114,1
JANV22SEM,20220117,1
JANV22SEM,20220118,1
JANV22SEM,20220119,1
JANV22SEM,20220120,1
JANV22SEM,20220121,1
JANV22SEM,20220124,1
JANV22SEM,20220125,1
JANV22SEM,20220126,1
JANV22SEM,20220127,1
JANV22SEM,20220128,1
JANV22SEM,20220131,1
JANV22SEM,20220201,1
JANV22SEM,20220202,1
JANV22SEM,20220203,1
JANV22SEM,20220204,1
JANV22SEM,20220207,1
JANV22SEM,20220208,1
JANV22SEM,20220209,1
JANV22SEM,20220210,1
JANV22SEM,20220211,1
JANV22SEM,20220214,1
JANV22SEM,20220215,1
JANV22SEM,20220216,1
JANV22SEM,20220217,1
JANV22SEM,20220218,1
JANV22SEM,20220221,1
JANV22SEM,20220222,1
JANV22SEM,20220223,1
JANV22SEM,20220224,1
JANV22SEM,20220225,1
JANV22SEM,20220228,1
JANV22SEM,20220301,1
JANV22SEM,20220302,1
JANV22SEM,20220303,1
JANV22SEM,20220304,1
JANV22SEM,20220307,1
JANV22SEM,20220308,1
JANV22SEM,20220309,1
JANV22SEM,20220310,1
JANV22SEM,20220311,1
JANV22SEM,20220314,1
JANV22SEM,20220315,1
JANV22SEM,20220316,1
JANV22SEM,20220317,1
JANV22SEM,20220318,1
JANV22SEM,20220321,1
JANV22SEM,20220322,1
JANV22SEM,20220323,1
JANV22SEM,20220324,1
JANV22SEM,20220325,1
