stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
JUIN23CP40002,40002,terminus Henri-Bourassa Quai: 4,-73.6672071,45.55581934,0,0,1,0
JUIN23CP40102,40102,terminus Henri-Bourassa,-73.6672894,45.55609121,0,0,1,0
JUIN23CP40131,40131,terminus Henri-Bourassa,-73.66754799,45.55702278,0,0,2,0
JUIN23CP40144,40144,métro Côte-Vertu Quai: 20,-73.68270913,45.51321869,0,0,1,0
JUIN23CP40151,40151,métro Côte-Vertu Quai: 19,-73.68252977,45.51335897,0,0,1,0
JUIN23CP40155,40155,terminus Henri-Bourassa,-73.66861488,45.55410126,0,0,2,0
JUIN23CP40313,40313,métro Côte-Vertu,-73.68252977,45.51335897,0,0,2,0
JUIN23CP40713,40713,Métro Côte-Vertu,-73.68224691,45.51360804,0,0,2,0
JUIN23CP40802,40802,métro Côte-Vertu Quai: 18,-73.68224691,45.51360804,0,0,1,0
JUIN23CP40925,40925,métro Radisson Quai: 6,-73.54003507,45.58982327,0,0,1,0
JUIN23CP40935,40935,métro Radisson / Radisson,-73.53935852,45.58952102,0,0,1,0
JUIN23CP41004,41004,de Langeais / de Gascogne,-73.71004104,45.57680523,0,0,1,0
JUIN2341005,41005,Ampère / Léo-Lacombe,-73.70736383,45.56024791,0,0,1,0
JUIN23CP41006,41006,Ampère / de Clairvaux,-73.70785045,45.56104801,0,0,1,1
JUIN2341008,41008,Ampère / Léo-Lacombe,-73.70701986,45.56018842,0,0,1,0
JUIN23CP41009,41009,Des Lacasse / d'Aveiro,-73.7284129,45.63125835,0,0,2,0
JUIN2341010,41010,Des Lacasse / de Gap,-73.73132765,45.62894894,0,0,2,0
JUIN2341011,41011,Des Lacasse / René-Laennec,-73.73322188,45.62800927,0,0,2,0
JUIN2341012,41012,René-Laennec / Prudentiel,-73.72970824,45.62496599,0,0,1,0
JUIN2341013,41013,René-Laennec / Aladin,-73.72575649,45.62130258,0,0,1,0
JUIN2341014,41014,René-Laennec / Bellerose,-73.72401892,45.61969532,0,0,1,0
JUIN2341015,41015,René-Laennec / de Lausanne (Nord),-73.72498424,45.62059324,0,0,1,0
JUIN2341016,41016,Prudentiel / de Montévideo,-73.72165339,45.62465796,0,0,2,0
JUIN2341017,41017,Prudentiel / De La Gironde,-73.72267924,45.62617937,0,0,1,0
JUIN2341018,41018,Le Carrefour / Le Corbusier,-73.74198456,45.57210274,0,0,1,0
JUIN2341020,41020,Alton-Goldbloom / Dale,-73.73823817,45.54661831,0,0,1,0
JUIN23CP41022,41022,Alton-Goldbloom / face à l'hôpital,-73.73698358,45.54842059,0,0,1,1
JUIN2341028,41028,de l'Avenir / Souvenir,-73.72204492,45.56138123,0,0,1,1
JUIN2341029,41029,4e Avenue / 5e Avenue,-73.77088691,45.64254655,0,0,2,0
JUIN2341030,41030,5e Avenue / 12e Avenue,-73.77029406,45.64035412,0,0,2,0
JUIN2341031,41031,5e Avenue / 8e Avenue,-73.77055542,45.6413523,0,0,2,0
JUIN2341032,41032,4e Avenue / 7e Avenue,-73.7697924,45.64273983,0,0,2,0
JUIN2341033,41033,12e Avenue / Parc-des-Érables,-73.76944666,45.64019416,0,0,2,0
JUIN2341039,41039,12e Avenue / 19e Rue,-73.70308046,45.56683352,0,0,1,0
JUIN2341040,41040,12e Avenue / 19e Rue,-73.70341364,45.56685992,0,0,1,0
JUIN2341041,41041,12e Avenue / du Souvenir,-73.7056,45.56918657,0,0,1,0
JUIN2341042,41042,12e Avenue / de Côte d'Azur,-73.70549571,45.56869185,0,0,2,0
JUIN2341043,41043,12e Avenue / de Bourges,-73.70206416,45.56565654,0,0,1,0
JUIN2341045,41045,Cousteau / Sainte-Rose,-73.84204671,45.56765373,0,0,2,0
JUIN2341046,41046,Cousteau / Séguin,-73.8444963,45.5701839,0,0,2,0
JUIN2341047,41047,43e Avenue / Séguin,-73.83831344,45.57318982,0,0,2,0
JUIN2341048,41048,43e Avenue / face au 987,-73.83665055,45.57150305,0,0,2,0
JUIN2341049,41049,43e Avenue / face 990,-73.83671392,45.57138589,0,0,2,0
JUIN2341050,41050,Sainte-Rose / Sauriol,-73.83424312,45.56948677,0,0,1,1
JUIN23CP41056,41056,100e Avenue / Samson,-73.75966992,45.52857485,0,0,1,1
JUIN2341057,41057,100e Avenue / Notre-Dame,-73.76500481,45.53596827,0,0,1,0
JUIN23CP41058,41058,100e Avenue / Samson,-73.75979517,45.52850028,0,0,1,1
JUIN2341059,41059,100e Avenue / 4e Rue,-73.76127765,45.53018189,0,0,2,0
JUIN2341060,41060,100e Avenue / 4e Rue,-73.76155964,45.53025323,0,0,2,0
