shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
AOUT1912E,45.559852,-73.68231,0
AOUT1912E,45.559852,-73.68231,10
AOUT1912E,45.559852,-73.68231,20
AOUT1912E,45.559407,-73.68318,29
AOUT1912E,45.559317,-73.68335,40
AOUT1912E,45.559204,-73.68353,50
AOUT1912E,45.559191,-73.68355,59
AOUT1912E,45.559711,-73.68414,70
AOUT1912E,45.559795,-73.68398,80
AOUT1912E,45.559865,-73.68384,90
AOUT1912E,45.560063,-73.68349,100
AOUT1912E,45.560289,-73.68302,110
AOUT1912E,45.560425,-73.68274,119
AOUT1912E,45.560596,-73.68242,130
AOUT1912E,45.56084,-73.68202,140
AOUT1912E,45.56093,-73.68183,150
AOUT1912E,45.560993,-73.68171,160
AOUT1912E,45.561065,-73.68159,170
AOUT1912E,45.561129,-73.68146,180
AOUT1912E,45.561354,-73.681,190
AOUT1912E,45.561505,-73.68071,200
AOUT1912E,45.561589,-73.68055,210
AOUT1912E,45.561147,-73.68002,220
AOUT1912E,45.560942,-73.67978,230
AOUT1912E,45.560628,-73.67941,239
AOUT1912E,45.560475,-73.67924,250
AOUT1912E,45.560403,-73.67916,260
AOUT1912E,45.560242,-73.67898,270
AOUT1912E,45.56017,-73.67892,280
AOUT1912E,45.56008,-73.67884,290
AOUT1912E,45.559882,-73.67869,300
AOUT1912E,45.559693,-73.67856,310
AOUT1912E,45.559496,-73.67842,320
AOUT1912E,45.559478,-73.6784,330
AOUT1912E,45.559433,-73.67838,340
AOUT1912E,45.55919,-73.67824,350
AOUT1912E,45.558929,-73.67807,360
AOUT1912E,45.55866,-73.67789,370
AOUT1912E,45.558516,-73.67773,380
AOUT1912E,45.558426,-73.67763,390
AOUT1912E,45.558291,-73.6775,400
AOUT1912E,45.558271,-73.67746,410
AOUT1912E,45.55822,-73.67735,420
AOUT1912E,45.558274,-73.6773,430
AOUT1912E,45.558409,-73.67721,440
AOUT1912E,45.558652,-73.67702,449
AOUT1912E,45.558976,-73.67681,460
AOUT1912E,45.559111,-73.67671,470
AOUT1912E,45.559255,-73.6766,479
AOUT1912E,45.559544,-73.67639,490
AOUT1912E,45.55985,-73.67619,500
AOUT1912E,45.560174,-73.67593,510
AOUT1912E,45.560183,-73.67592,520
AOUT1912E,45.560508,-73.67564,530
AOUT1912E,45.560832,-73.67532,540
AOUT1912E,45.561148,-73.675,550
AOUT1912E,45.56149,-73.67464,560
AOUT1912E,45.561869,-73.67426,570
AOUT1912E,45.56222,-73.67389,580
AOUT1912E,45.562572,-73.67353,590
AOUT1912E,45.562896,-73.67318,600
AOUT1912E,45.563193,-73.67287,610
AOUT1912E,45.563437,-73.67266,620
AOUT1912E,45.563707,-73.67249,630
AOUT1912E,45.564004,-73.67232,640
AOUT1912E,45.564346,-73.67213,650
AOUT1912E,45.564644,-73.67199,660
AOUT1912E,45.564887,-73.67187,670
AOUT1912E,45.564968,-73.67186,680
AOUT1912E,45.564995,-73.67184,690
AOUT1912E,45.56513,-73.67173,700
AOUT1912E,45.565223,-73.6717,710
AOUT1912E,45.565238,-73.6717,720
AOUT1912E,45.565274,-73.67172,730
AOUT1912E,45.565301,-73.67179,740
AOUT1912E,45.565292,-73.67189,750
AOUT1912E,45.565292,-73.6719,760
AOUT1912E,45.565255,-73.67195,770
AOUT1912E,45.565183,-73.67194,780
AOUT1912E,45.56516,-73.67193,790
AOUT1912E,45.56516,-73.67193,100000
AOUT1912O,45.565157,-73.67192,0
AOUT1912O,45.565157,-73.67192,10
AOUT1912O,45.565094,-73.67189,20
AOUT1912O,45.565004,-73.67188,29
AOUT1912O,45.564968,-73.67186,40
AOUT1912O,45.564887,-73.67187,50
AOUT1912O,45.564644,-73.67199,59
AOUT1912O,45.564346,-73.67213,70
AOUT1912O,45.564004,-73.67232,80
AOUT1912O,45.56397,-73.67234,90
AOUT1912O,45.563707,-73.67249,100
AOUT1912O,45.563437,-73.67266,110
AOUT1912O,45.563193,-73.67287,119
AOUT1912O,45.562957,-73.67311,130
AOUT1912O,45.562896,-73.67318,140
AOUT1912O,45.562572,-73.67353,150
AOUT1912O,45.56222,-73.67389,160
AOUT1912O,45.562123,-73.67399,170
AOUT1912O,45.561869,-73.67426,180
AOUT1912O,45.56149,-73.67464,190
AOUT1912O,45.5613,-73.67484,200
AOUT1912O,45.561148,-73.675,210
AOUT1912O,45.560832,-73.67532,220
AOUT1912O,45.560508,-73.67564,230
AOUT1912O,45.560183,-73.67592,239
AOUT1912O,45.55985,-73.67619,250
AOUT1912O,45.559793,-73.67623,260
AOUT1912O,45.559544,-73.67639,270
AOUT1912O,45.559255,-73.6766,280
AOUT1912O,45.559111,-73.67671,290
AOUT1912O,45.558976,-73.67681,300
AOUT1912O,45.558652,-73.67702,310
AOUT1912O,45.558551,-73.6771,320
AOUT1912O,45.558409,-73.67721,330
AOUT1912O,45.558351,-73.67725,340
AOUT1912O,45.558274,-73.6773,350
AOUT1912O,45.55822,-73.67735,360
AOUT1912O,45.558291,-73.6775,370
AOUT1912O,45.558426,-73.67763,380
AOUT1912O,45.558516,-73.67773,390
AOUT1912O,45.55866,-73.67789,400
AOUT1912O,45.558929,-73.67807,410
AOUT1912O,45.55919,-73.67824,420
AOUT1912O,45.559361,-73.67834,430
AOUT1912O,45.559433,-73.67838,440
AOUT1912O,45.559478,-73.6784,449
AOUT1912O,45.559693,-73.67856,460
AOUT1912O,45.559822,-73.67865,470
AOUT1912O,45.559882,-73.67869,479
AOUT1912O,45.56008,-73.67884,490
AOUT1912O,45.56017,-73.67892,500
AOUT1912O,45.560242,-73.67898,510
AOUT1912O,45.560403,-73.67916,520
AOUT1912O,45.560475,-73.67924,530
AOUT1912O,45.560628,-73.67941,540
AOUT1912O,45.560912,-73.67974,550
AOUT1912O,45.560942,-73.67978,560
AOUT1912O,45.561589,-73.68055,570
AOUT1912O,45.561643,-73.6806,580
AOUT1912O,45.561706,-73.68067,590
AOUT1912O,45.561579,-73.68088,600
AOUT1912O,45.561444,-73.6811,610
AOUT1912O,45.561146,-73.6817,620
AOUT1912O,45.561083,-73.68184,630
AOUT1912O,45.560785,-73.68239,640
AOUT1912O,45.560541,-73.68284,650
AOUT1912O,45.560406,-73.68312,660
AOUT1912O,45.560336,-73.68306,670
AOUT1912O,45.560289,-73.68302,680
AOUT1912O,45.560208,-73.68294,690
AOUT1912O,45.560154,-73.68288,700
AOUT1912O,45.55992,-73.68332,710
AOUT1912O,45.559793,-73.68355,720
AOUT1912O,45.559775,-73.68358,730
AOUT1912O,45.559721,-73.68357,740
AOUT1912O,45.55965,-73.68352,750
AOUT1912O,45.559612,-73.68346,760
AOUT1912O,45.559596,-73.68344,770
AOUT1912O,45.559596,-73.68337,780
AOUT1912O,45.559832,-73.68292,790
AOUT1912O,45.560019,-73.68256,100000
AOUT19144E,45.532366,-73.82355,0
AOUT19144E,45.532317,-73.82349,10
AOUT19144E,45.530967,-73.82209,20
AOUT19144E,45.530908,-73.82203,29
AOUT19144E,45.530899,-73.82201,40
AOUT19144E,45.530621,-73.8217,50
AOUT19144E,45.53037,-73.82145,59
AOUT19144E,45.530056,-73.82114,70
AOUT19144E,45.529849,-73.82102,80
AOUT19144E,45.529248,-73.82056,90
AOUT19144E,45.529121,-73.82094,100
AOUT19144E,45.52906,-73.82113,110
AOUT19144E,45.528975,-73.8214,119
AOUT19144E,45.528921,-73.82157,130
AOUT19144E,45.528526,-73.82121,140
AOUT19144E,45.528221,-73.82092,150
AOUT19144E,45.528069,-73.82077,160
AOUT19144E,45.527772,-73.82047,170
AOUT19144E,45.527386,-73.82007,180
AOUT19144E,45.527152,-73.81984,190
AOUT19144E,45.526673,-73.81936,200
AOUT19144E,45.526624,-73.81931,210
AOUT19144E,45.526274,-73.81897,220
AOUT19144E,45.526103,-73.81879,230
AOUT19144E,45.525529,-73.81821,239
AOUT19144E,45.524464,-73.81709,250
AOUT19144E,45.524353,-73.81697,260
AOUT19144E,45.524282,-73.81689,270
AOUT19144E,45.524237,-73.81685,280
AOUT19144E,45.523627,-73.81625,290
AOUT19144E,45.522612,-73.81525,300
AOUT19144E,45.52255,-73.81519,310
AOUT19144E,45.522523,-73.81517,320
AOUT19144E,45.522514,-73.81515,330
AOUT19144E,45.521841,-73.81447,340
AOUT19144E,45.520917,-73.81353,350
AOUT19144E,45.520908,-73.81352,360
AOUT19144E,45.52066,-73.81329,370
AOUT19144E,45.52062,-73.81325,380
AOUT19144E,45.520588,-73.81323,390
