route_id,service_id,trip_id,block_id,shape_id,trip_headsign
MARS2012E,MARS20SEM,MARS2012E2L11007050003,L110,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L19017150029,L190,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L22107450005,L221,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L25309200009,L253,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L25517560031,L255,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L25916350027,L259,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L27112100015,L271,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L27415150023,L274,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L27918350033,L279,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L28514300021,L285,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L29216000025,L292,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L30820350037,L308,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L35223350043,L352,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L37119350035,L371,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L37121350039,L371,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L38822350041,L388,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L4806250001,L48,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L5911200013,L59,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L7013000017,L70,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L7513450019,L75,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L8610200011,L86,MARS2012E,
MARS2012E,MARS20SEM,MARS2012E2L8708300007,L87,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S10915210317,S109,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S13021190329,S130,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S13123190333,S131,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S14216210319,S142,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S15518220323,S155,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S17422190331,S174,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S17519190325,S175,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S18420190327,S184,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S1908190303,S19,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S209190305,S2,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S2611190309,S26,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S3312190311,S33,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S3607190301,S36,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S4110190307,S41,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S7813190313,S78,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S7914200315,S79,MARS2012E,
MARS2012E,MARS20SAM,MARS2012E2S9817170321,S98,MARS2012E,
MARS2012O,MARS20SEM,MARS2012O1L11007100004,L110,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L19017200030,L190,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L22107500006,L221,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L25309250010,L253,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L25518010032,L255,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L25916400028,L259,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L27112150016,L271,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L27415200024,L274,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L27918390034,L279,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L28514350022,L285,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L29216050026,L292,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L30820390038,L308,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L35223390044,L352,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L37119390036,L371,MARS2012O,
MARS2012O,MARS20SEM,MARS2012O1L37121390040,L371,MARS2012O,
